,hu_xing,area,chao_xiang,other,lou_cen,lei_xin,dan_jia,zong_jia
26,2室1厅 ,75.0,南, 简装 , 29层 , 2001年建 ,"66,641元/平",500
27,2室2厅 ,95.1,西北, 精装 , 低楼层(共29层) , 2003年建 ,"69,912元/平",665
28,3室1厅 ,95.7,南北, 简装 , 高楼层(共6层) , 1985年建 ,"138,976元/平",1330
29,3室1厅 ,64.5,南北, 简装 , 底层(共6层) , 1987年建 ,"59,653元/平",385
30,3室1厅 ,101.0,南北, 简装 , 中楼层(共14层) , 2000年建 ,"52,231元/平",528
31,2室1厅 ,85.6,南北, 简装 , 顶层(共6层) , 1998年建 ,"27,431元/平",235
32,2室1厅 ,57.0,南北, 其他 , 高楼层(共6层) , 1992年建 ,"67,848元/平",387
33,3室2厅 ,138.0,南北, 毛坯 , 高楼层(共13层) , 2006年建 ,"83,750元/平",1156
34,3室1厅 ,64.3,南北, 简装 , 中楼层(共6层) , 1982年建 ,"59,071元/平",380
35,3室2厅 ,135.1,南北, 精装 , 高楼层(共8层) , 2014年建 ,"93,230元/平",1260
36,3室1厅 ,100.1,南北, 简装 , 24层 , 2001年建 ,"54,424元/平",545
37,2室1厅 ,85.4,东南, 简装 , 中楼层(共28层) , 2001年建 ,"58,431元/平",499
38,2室1厅 ,92.3,南北, 精装 , 高楼层(共11层) , 2007年建 ,"75,840元/平",700
39,2室1厅 ,60.5,南北, 简装 , 底层(共6层) , 1997年建 ,"34,711元/平",210
40,2室1厅 ,64.6,东西, 精装 , 中楼层(共14层) , 1996年建 ,"52,632元/平",340
41,2室1厅 ,90.1,东南北, 简装 , 顶层(共22层) , 2005年建 ,"50,910元/平",459
42,2室1厅 ,68.7,南, 简装 , 低楼层(共23层) , 1988年建 ,"68,394元/平",470
43,3室1厅 ,97.6,东西, 简装 , 高楼层(共14层) , 2000年建 ,"95,248元/平",930
44,3室1厅 ,97.1,南北, 简装 , 底层(共14层) , 2012年建 ,"78,238元/平",760
45,3室1厅 ,76.1,南北, 简装 , 中楼层(共6层) , 1985年建 ,"63,313元/平",482
46,3室1厅 ,85.3,东南, 简装 , 中楼层(共21层) , 2010年建 ,"55,042元/平",470
47,3室1厅 ,71.3,东南北, 精装 , 中楼层(共16层) , 1991年建 ,"81,347元/平",580
48,1室1厅 ,45.0,南, 简装 , 中楼层(共6层) , 1994年建 ,"61,669元/平",278
49,2室1厅 ,71.9,南北, 简装 , 底层(共6层) , 1997年建 ,"41,030元/平",295
50,2室1厅 ,54.7,东南, 简装 , 6层  , 板楼,"100,439元/平",550
51,2室1厅 ,58.6,南北, 简装 , 中楼层(共6层) , 1992年建 ,"39,210元/平",230
52,2室1厅 ,48.5,东南北, 简装 , 5层  , 板楼,"96,994元/平",471
53,2室1厅 ,84.6,东西, 简装 , 高楼层(共9层) , 1997年建 ,"81,561元/平",690
54,2室2厅 ,92.4,西南, 简装 , 高楼层(共22层) , 2003年建 ,"55,142元/平",510
55,2室1厅 ,61.2,南北, 简装 , 6层 , 1995年建 ,"67,897元/平",416
56,3室1厅 ,137.0,南, 精装 , 低楼层(共28层) , 2003年建 ,"54,011元/平",740
57,2室2厅 ,96.8,南西, 简装 , 中楼层(共5层) , 2004年建 ,"45,239元/平",438
58,3室1厅 ,97.2,东西北, 简装 , 6层 , 2000年建 ,"54,288元/平",528
59,2室1厅 ,84.0,南北, 简装 , 中楼层(共6层) , 1998年建 ,"45,558元/平",383
60,3室2厅 ,158.5,南北, 精装 , 低楼层(共20层) , 2010年建 ,"87,045元/平",1380
61,3室1厅 ,111.8,南北, 精装 , 7层 , 2012年建 ,"87,634元/平",980
62,5室2厅 ,213.6,南北, 精装 , 底层(共10层) , 2006年建 ,"65,066元/平",1390
63,3室2厅 ,174.1,南东北, 精装 , 中楼层(共4层) , 2004年建 ,"36,689元/平",639
64,3室2厅 ,141.9,南北, 毛坯 , 中楼层(共5层) , 2007年建 ,"58,418元/平",829
65,3室2厅 ,133.8,南西, 简装 , 高楼层(共7层) , 2003年建 ,"19,349元/平",259
66,3室2厅 ,148.3,南北, 简装 , 中楼层(共28层) , 2007年建 ,"124,722元/平",1850
67,3室1厅 ,81.7,南北, 精装 , 6层 , 1990年建 ,"134,639元/平",1100
68,4室3厅 ,132,南北, 简装 , 中楼层(共6层) , 1997年建 ,"117,425元/平",1550
69,5室2厅 ,309.7,南北, 毛坯 , 顶层(共11层) , 2002年建 ,"41,967元/平",1300
70,2室1厅 ,82.1,东南, 精装 , 中楼层(共21层) , 2006年建 ,"59,075元/平",485
71,2室1厅 ,60.7,南北, 简装 , 中楼层(共4层) , 1953年建 ,"95,489元/平",580
72,3室1厅 ,123.7,南北, 精装 , 中楼层(共6层) , 2005年建 ,"45,249元/平",560
73,4室3厅 ,128.2,南北, 精装 , 6层 , 2012年建 ,"62,320元/平",799
74,5室2厅 ,197.8,南北, 简装 , 高楼层(共7层) , 2006年建 ,"10,614元/平",210
75,4室2厅 ,122.8,南北, 精装 , 底层(共16层) , 2006年建 ,"111,971元/平",1375
76,4室1厅 ,212.7,南北, 精装 , 18层 , 2011年建 ,"79,852元/平",1699
77,3室1厅 ,81.2,南北, 简装 , 顶层(共6层) , 1994年建 ,"71,359元/平",580
78,4室3厅 ,218.4,南北, 精装 , 中楼层(共5层) , 2003年建 ,"49,431元/平",1080
79,4室2厅 ,270.5,南北, 精装 , 高楼层(共7层) , 2012年建 ,"75,778元/平",2050
80,5室3厅 ,183.3,南北, 精装 , 4层 , 2004年建 ,"44,186元/平",810
81,4室2厅 ,144.8,南北, 精装 , 高楼层(共25层) , 2014年建 ,"151,850元/平",2200
82,3室2厅 ,140.3,西南, 精装 , 低楼层(共15层) , 2004年建 ,"71,236元/平",1000
83,4室2厅 ,211.2,南北, 精装 , 中楼层(共4层) , 2004年建 ,"56,337元/平",1190
84,3室2厅 ,172.1,南北, 精装 , 低楼层(共18层) , 2010年建 ,"52,268元/平",900
85,5室2厅 ,388.0,北南, 精装 , 2层 , 2003年建 ,"42,525元/平",1650
86,3室2厅 ,142.5,南北, 精装 , 中楼层(共26层) , 2006年建 ,"84,193元/平",1200
87,3室2厅 ,173.0,南北, 简装 , 低楼层(共13层) , 2003年建 ,"69,922元/平",1210
88,2室1厅 ,102,南, 简装 , 高楼层(共28层) , 2008年建 ,"56,863元/平",580
89,2室1厅 ,53.4,南北, 简装 , 中楼层(共5层) , 1978年建 ,"35,541元/平",190
90,2室2厅 ,83.4,东南北, 简装 , 中楼层(共7层) , 2002年建 ,"38,351元/平",320
91,2室1厅 ,82.9,西南, 精装 , 中楼层(共28层) , 2010年建 ,"107,910元/平",895
92,3室2厅 ,144.1,南北, 精装 , 低楼层(共11层) , 2012年建 ,"24,628元/平",355
93,2室1厅 ,80.7,南, 简装 , 低楼层(共15层) , 2010年建 ,"53,623元/平",433
94,2室1厅 ,104.5,南北, 精装 , 低楼层(共12层) , 2004年建 ,"41,336元/平",432
95,3室2厅 ,129.7,南北, 精装 , 中楼层(共18层) , 2006年建 ,"49,696元/平",645
96,3室1厅 ,66.7,东西, 精装 , 底层(共6层) , 1976年建 ,"64,391元/平",430
97,2室2厅 ,116.8,西南, 精装 , 中楼层(共32层) , 2003年建 ,"67,414元/平",788
98,2室1厅 ,81.0,西, 简装 , 高楼层(共28层) , 2005年建 ,"53,048元/平",430
99,2室1厅 ,62.3,南北, 精装 , 底层(共6层) , 1987年建 ,"97,851元/平",610
100,2室1厅 ,55.0,南, 简装 , 低楼层(共6层) , 1980年建 ,"71,793元/平",395
101,2室1厅 ,69.0,北, 精装 , 低楼层(共22层) , 2003年建 ,"61,976元/平",428
102,3室2厅 ,132.4,南北, 精装 , 顶层(共18层) , 2005年建 ,"94,361元/平",1250
103,2室1厅 ,59.4,南, 简装 , 中楼层(共5层) , 1986年建 ,"45,111元/平",268
104,2室1厅 ,71.1,东南, 精装 , 高楼层(共18层) , 1998年建 ,"62,509元/平",445
105,2室1厅 ,83.3,南北, 精装 , 底层(共6层) , 1997年建 ,"38,157元/平",318
106,2室1厅 ,54.4,南北, 简装 , 低楼层(共6层) , 1987年建 ,"49,569元/平",270
107,1室1厅 ,68.5,东, 精装 , 高楼层(共17层) , 2004年建 ,"44,494元/平",305
108,1室1厅 ,60.1,东南, 简装 , 24层 , 2004年建 ,"65,659元/平",395
109,1室1厅 ,46.4,西南, 精装 , 高楼层(共6层) , 1992年建 ,"52,791元/平",245
110,3室1厅 ,76.8,南, 毛坯 , 中楼层(共6层) , 1994年建 ,"62,322元/平",479
111,3室1厅 ,123.9,南北, 精装 , 低楼层(共16层) , 2006年建 ,"69,291元/平",859
112,1室1厅 ,70.6,南, 精装 , 低楼层(共18层) , 2007年建 ,"67,828元/平",479
113,3室1厅 ,68.4,东南北, 精装 , 中楼层(共12层) , 1982年建 ,"130,848元/平",895
114,3室1厅 ,94.2,西南, 精装 , 中楼层(共25层) , 2014年建 ,"51,968元/平",490
115,3室2厅 ,187.6,东南南, 简装 , 高楼层(共18层) , 1996年建 ,"109,241元/平",2050
116,2室1厅 ,91.2,南, 简装 , 中楼层(共28层) , 2008年建 ,"61,952元/平",565
117,2室1厅 ,82.7,南北, 简装 , 顶层(共6层) , 2000年建 ,"25,992元/平",215
118,3室1厅 ,102.9,南北, 精装 , 低楼层(共21层) , 2016年建 ,"40,307元/平",415
119,3室1厅 ,120.6,东南北, 简装 , 中楼层(共5层) , 2003年建 ,"48,914元/平",590
120,2室1厅 ,103.7,西南北, 精装 , 底层(共15层) , 2015年建 ,"44,631元/平",463
121,2室1厅 ,54.3,东北, 简装 , 底层(共6层) , 1996年建 ,"41,368元/平",225
122,3室1厅 ,65.7,南北, 简装 , 底层(共5层) , 1983年建 ,"48,692元/平",320
123,2室1厅 ,71.2,东北, 简装 , 中楼层(共24层) , 2009年建 ,"73,867元/平",526
124,2室1厅 ,86.0,东西, 简装 , 低楼层(共22层) , 2010年建 ,"31,962元/平",275
125,1室1厅 ,65.5,东西, 简装 , 5层 , 2006年建 ,"83,906元/平",550
126,2室1厅 ,57.9,东南北, 精装 , 中楼层(共6层) , 1985年建 ,"99,190元/平",575
127,2室1厅 ,76.0,南北, 精装 , 低楼层(共18层) , 2014年建 ,"38,786元/平",295
128,2室1厅 ,86.8,东南北, 精装 , 顶层(共6层) , 1999年建 ,"35,110元/平",305
129,2室1厅 ,73.3,东北, 简装 , 底层(共18层) , 1999年建 ,"44,966元/平",330
130,1室1厅 ,51.5,南, 精装 , 低楼层(共6层) , 2002年建 ,"65,049元/平",335
131,2室1厅 ,59.3,南北, 精装 , 6层 , 1983年建 ,"125,948元/平",748
132,2室1厅 ,57.9,西南, 简装 , 顶层(共13层) , 1985年建 ,"77,958元/平",452
133,2室1厅 ,63.5,南北, 其他 , 低楼层(共12层) , 1995年建 ,"64,075元/平",407
134,2室1厅 ,89.6,西北, 简装 , 高楼层(共18层) , 2001年建 ,"91,437元/平",820
135,2室1厅 ,85.3,南北, 简装 , 18层 , 2001年建 ,"125,337元/平",1070
136,1室1厅 ,67.9,南北, 简装 , 低楼层(共17层) , 2004年建 ,"58,867元/平",400
137,2室1厅 ,121.5,东西, 精装 , 高楼层(共18层) , 2003年建 ,"37,266元/平",453
138,2室1厅 ,52.5,南, 简装 , 6层 , 1995年建 ,"40,937元/平",215
139,2室1厅 ,65.6,南北, 简装 , 中楼层(共12层) , 1992年建 ,"94,150元/平",618
140,2室1厅 ,63.9,南西北, 精装 , 低楼层(共16层) , 1990年建 ,"68,076元/平",435
141,3室1厅 ,125.5,南西南, 精装 , 中楼层(共7层) , 1998年建 ,"105,943元/平",1330
142,1室1厅 ,67.7,南北, 精装 , 低楼层(共15层) , 2007年建 ,"55,983元/平",379
143,2室1厅 ,112.5,南北, 简装 , 底层(共7层) , 2001年建 ,"42,660元/平",480
144,3室1厅 ,121.8,南北, 简装 , 中楼层(共6层) , 2005年建 ,"42,604元/平",519
145,1室1厅 ,61.0,东, 精装 , 中楼层(共16层) , 2015年建 ,"41,749元/平",255
146,2室1厅 ,100.0,南, 精装 , 高楼层(共21层) , 2007年建 ,"79,937元/平",800
147,1室1厅 ,58.6,南, 简装 , 高楼层(共15层) , 2010年建 ,"30,035元/平",176
148,1室0厅 ,43,北, 简装 , 底层(共24层) , 2004年建 ,"103,489元/平",445
149,3室2厅 ,171.0,南北, 毛坯 , 中楼层(共5层) , 2009年建 ,"30,993元/平",530
150,2室1厅 ,113.9,西南, 精装 , 中楼层(共18层) , 2006年建 ,"77,234元/平",880
151,3室2厅 ,88.7,南北, 简装 , 高楼层(共25层)  , 板楼,"40,578元/平",360
152,2室1厅 ,76.2,南北, 简装 , 中楼层(共8层) , 2013年建 ,"40,935元/平",312
153,2室1厅 ,56.9,南北, 简装 , 高楼层(共6层) , 1989年建 ,"98,315元/平",560
154,3室2厅 ,137.1,南北, 简装 , 中楼层(共27层) , 2007年建 ,"63,293元/平",868
155,3室2厅 ,94.0,南北, 精装 , 底层(共14层) , 2014年建 ,"43,816元/平",412
156,3室1厅 ,127.7,东北, 精装 , 中楼层(共21层) , 2000年建 ,"46,184元/平",590
157,2室1厅 ,81.7,东西, 简装 , 顶层(共10层) , 2006年建 ,"52,368元/平",428
158,3室1厅 ,75.6,南北, 其他 , 低楼层(共6层) , 1993年建 ,"122,487元/平",926
159,2室1厅 ,78.2,西南, 精装 , 高楼层(共22层) , 2011年建 ,"63,275元/平",495
160,1室0厅 ,40.8,北, 简装 , 低楼层(共20层) , 2007年建 ,"47,724元/平",195
161,2室2厅 ,67.3,南西北, 简装 , 中楼层(共6层) , 1995年建 ,"40,547元/平",273
162,3室1厅 ,106.7,东南, 简装 , 中楼层(共6层) , 2002年建 ,"54,333元/平",580
163,2室1厅 ,76.4,南北, 精装 , 高楼层(共6层) , 1995年建 ,"58,601元/平",448
164,2室1厅 ,63.8,南北, 简装 , 中楼层(共6层) , 1995年建 ,"54,859元/平",350
165,3室1厅 ,131.5,东南北, 精装 , 中楼层(共14层) , 2006年建 ,"72,836元/平",958
166,2室1厅 ,67.7,南北, 简装 , 底层(共6层) , 1992年建 ,"57,582元/平",390
167,2室1厅 ,76.0,南北, 精装 , 中楼层(共18层) , 2014年建 ,"40,626元/平",309
168,2室2厅 ,77.8,南北, 简装 , 中楼层(共12层) , 2005年建 ,"133,334元/平",1038
169,2室2厅 ,91.2,南, 精装 , 中楼层(共6层) , 2009年建 ,"77,261元/平",705
170,3室1厅 ,92.5,东南西北东北, 精装 , 高楼层(共22层) , 1992年建 ,"68,101元/平",630
171,1室1厅 ,46.3,西, 精装 , 低楼层(共30层) , 2005年建 ,"62,083元/平",288
172,2室1厅 ,80.0,东北, 简装 , 中楼层(共18层) , 2004年建 ,"62,454元/平",500
173,2室1厅 ,84.7,南, 精装 , 高楼层(共30层) , 2014年建 ,"39,982元/平",339
174,2室1厅 ,74.7,南, 精装 , 高楼层(共20层) , 2014年建 ,"42,804元/平",320
175,3室1厅 ,89.4,南北, 精装 , 低楼层(共18层) , 2015年建 ,"41,360元/平",370
176,2室1厅 ,97.4,西南东北, 简装 , 中楼层(共31层) , 2007年建 ,"53,350元/平",520
177,3室1厅 ,89.6,南北西, 简装 , 底层(共6层) , 2000年建 ,"37,471元/平",336
178,2室1厅 ,68.3,南北, 简装 , 底层(共6层) , 1996年建 ,"39,041元/平",267
179,3室1厅 ,104.7,南北, 简装 , 顶层(共6层) , 1995年建 ,"124,165元/平",1300
180,1室1厅 ,38.5,南北, 简装 , 中楼层(共6层) , 1980年建 ,"37,594元/平",145
181,2室1厅 ,57.6,南北, 精装 , 顶层(共6层) , 1987年建 ,"69,074元/平",398
182,2室1厅 ,60.3,南北, 简装 , 高楼层(共6层) , 1991年建 ,"39,418元/平",238
183,1室1厅 ,56.3,南, 简装 , 高楼层(共18层) , 2015年建 ,"29,297元/平",165
184,3室2厅 ,122.9,南, 简装 , 低楼层(共25层) , 2011年建 ,"67,892元/平",835
185,2室1厅 ,82.0,东南, 简装 , 低楼层(共21层) , 2011年建 ,"52,427元/平",430
186,1室1厅 ,50.7,南, 简装 , 低楼层(共7层) , 1997年建 ,"54,220元/平",275
187,2室1厅 ,94.9,东西, 简装 , 中楼层(共6层) , 2000年建 ,"27,181元/平",258
188,2室1厅 ,56.2,南北, 毛坯 , 高楼层(共6层) , 1991年建 ,"65,813元/平",370
189,2室1厅 ,106.6,东南, 精装 , 17层 , 2001年建 ,"41,155元/平",439
190,2室2厅 ,119.5,南北, 简装 , 底层(共6层) , 2003年建 ,"56,885元/平",680
191,2室1厅 ,77.8,东南北, 精装 , 中楼层(共16层) , 2013年建 ,"80,915元/平",630
192,2室1厅 ,69.3,南北, 精装 , 顶层(共5层) , 1996年建 ,"37,513元/平",260
193,1室1厅 ,33.4,南, 精装 , 中楼层(共5层) , 1970年建 ,"112,041元/平",375
194,3室1厅 ,174.9,南北, 毛坯 , 中楼层(共27层) , 2009年建 ,"125,736元/平",2200
195,1室1厅 ,60.9,南北, 简装 , 底层(共6层) , 2004年建 ,"52,485元/平",320
196,2室1厅 ,57.0,南北, 简装 , 底层(共6层) , 1988年建 ,"113,896元/平",650
197,3室2厅 ,123.6,南北, 精装 , 高楼层(共16层) , 2006年建 ,"67,136元/平",830
198,2室1厅 ,68.6,西南, 简装 , 底层(共6层) , 2000年建 ,"60,854元/平",418
199,3室1厅 ,71.1,南北, 简装 , 10层 , 1989年建 ,"119,550元/平",850
200,2室1厅 ,80.9,南北, 简装 , 低楼层(共6层) , 1998年建 ,"39,551元/平",320
201,2室1厅 ,65.8,西南, 简装 , 低楼层(共22层) , 1998年建 ,"53,279元/平",351
202,2室1厅 ,62.7,南北, 精装 , 中楼层(共6层) , 1994年建 ,"99,618元/平",625
203,1室1厅 ,38.1,西南, 毛坯 , 低楼层(共6层) , 1985年建 ,"87,048元/平",332
204,3室2厅 ,124.7,南北, 简装 , 低楼层(共6层) , 2007年建 ,"45,284元/平",565
205,1室1厅 ,62.2,北, 简装 , 低楼层(共24层) , 2006年建 ,"57,795元/平",360
206,2室1厅 ,52.9,南北, 简装 , 18层 , 2014年建 ,"39,668元/平",210
207,3室1厅 ,64.3,南北, 精装 , 顶层(共6层) , 1988年建 ,"51,135元/平",329
208,1室1厅 ,46.1,南, 精装 , 底层(共6层) , 1995年建 ,"51,844元/平",239
209,3室1厅 ,85.1,南北, 精装 , 中楼层(共6层) , 1997年建 ,"43,234元/平",368
210,3室1厅 ,85.1,南北, 精装 , 中楼层(共6层) , 1997年建 ,"43,234元/平",368
211,1室1厅 ,65.2,北, 简装 , 中楼层(共24层) , 2005年建 ,"56,740元/平",370
212,4室2厅 ,224.7,南北, 精装 , 中楼层(共7层) , 2003年建 ,"84,506元/平",1899
213,3室1厅 ,127.6,东南, 精装 , 低楼层(共20层) , 2000年建 ,"57,875元/平",739
214,4室2厅 ,212.0,南北, 精装 , 高楼层(共26层) , 2012年建 ,"77,823元/平",1650
215,2室1厅 ,64.2,南北, 精装 , 中楼层(共6层) , 1991年建 ,"69,304元/平",445
216,2室1厅 ,109.4,西南, 精装 , 中楼层(共32层) , 2003年建 ,"51,618元/平",565
217,2室1厅 ,79.0,南北, 简装 , 低楼层(共6层) , 2004年建 ,"54,424元/平",430
218,3室2厅 ,126.8,南, 精装 , 中楼层(共25层) , 2006年建 ,"115,737元/平",1468
219,3室1厅 ,101.1,南北, 简装 , 高楼层(共13层) , 1999年建 ,"57,335元/平",580
220,1室1厅 ,58.5,西, 简装 , 低楼层(共18层) , 1999年建 ,"105,929元/平",620
221,2室1厅 ,109.7,西, 精装 , 低楼层(共28层) , 1999年建 ,"90,959元/平",998
222,2室2厅 ,69.1,南北, 精装 , 高楼层(共7层) , 2002年建 ,"49,878元/平",345
223,2室1厅 ,76.4,东, 精装 , 中楼层(共16层) , 2006年建 ,"62,820元/平",480
224,4室2厅 ,127.1,南北, 精装 , 高楼层(共6层) , 2001年建 ,"77,867元/平",990
225,1室1厅 ,55.4,南, 精装 , 中楼层(共22层) , 2003年建 ,"133,213元/平",738
226,2室1厅 ,88.4,南, 简装 , 低楼层(共28层) , 2009年建 ,"55,424元/平",490
227,3室1厅 ,86.1,南北, 精装 , 低楼层(共10层) , 2003年建 ,"148,665元/平",1280
228,2室1厅 ,88.2,南北, 简装 , 底层(共12层) , 2003年建 ,"69,091元/平",610
229,2室1厅 ,71.1,西南, 简装 , 低楼层(共12层) , 1996年建 ,"54,799元/平",390
230,3室1厅 ,84.1,东南北, 简装 , 底层(共6层) , 1992年建 ,"116,473元/平",980
231,2室1厅 ,99.6,西北, 精装 , 高楼层(共23层) , 2008年建 ,"52,194元/平",520
232,3室2厅 ,158.5,南北, 精装 , 底层(共5层) , 2005年建 ,"36,582元/平",580
233,2室1厅 ,91.1,南, 简装 , 低楼层(共14层) , 2010年建 ,"44,862元/平",409
234,2室1厅 ,88.8,南, 精装 , 中楼层(共26层) , 2014年建 ,"43,679元/平",388
235,2室1厅 ,64.8,东北, 简装 , 低楼层(共13层) , 1990年建 ,"120,371元/平",780
236,3室1厅 ,141.3,东南, 精装 , 17层 , 2001年建 ,"37,844元/平",535
237,3室1厅 ,82.0,南北, 精装 , 6层 , 1994年建 ,"103,571元/平",850
238,2室1厅 ,84.1,西, 精装 , 中楼层(共20层) , 1999年建 ,"52,075元/平",438
239,3室2厅 ,107.4,南北, 简装 , 7层  , 板楼,"22,334元/平",240
240,2室2厅 ,81.6,南北, 简装 , 高楼层(共6层) , 1995年建 ,"42,648元/平",348
241,4室2厅 ,182.5,南北, 精装 , 10层 , 2009年建 ,"104,059元/平",1900
242,3室2厅 ,159.5,南北, 精装 , 中楼层(共7层) , 2007年建 ,"48,882元/平",780
243,1室1厅 ,48.3,西, 简装 , 中楼层(共12层) , 1994年建 ,"56,842元/平",275
244,3室1厅 ,89.6,东西, 精装 , 中楼层(共16层) , 2005年建 ,"42,369元/平",380
245,3室1厅 ,140.6,西南, 精装 , 19层 , 2001年建 ,"38,046元/平",535
246,2室1厅 ,78.4,南北, 精装 , 低楼层(共6层) , 2001年建 ,"40,515元/平",318
247,2室1厅 ,90,南北, 其他 , 高楼层(共21层) , 2010年建 ,"71,112元/平",640
248,2室1厅 ,112.0,南北, 简装 , 低楼层(共20层) , 2005年建 ,"49,969元/平",560
249,2室1厅 ,91.6,南北, 简装 , 中楼层(共19层) , 2009年建 ,"88,390元/平",810
250,2室1厅 ,90.5,西南, 精装 , 低楼层(共28层) , 1991年建 ,"66,240元/平",600
251,3室1厅 ,89.8,南北, 简装 , 中楼层(共29层) , 2010年建 ,"47,837元/平",430
252,2室1厅 ,87.2,南北, 简装 , 15层 , 2009年建 ,"42,966元/平",375
253,3室2厅 ,117.3,南北, 精装 , 中楼层(共6层) , 2002年建 ,"51,999元/平",610
254,2室1厅 ,50.4,东南西南, 精装 , 高楼层(共6层) , 1979年建 ,"112,610元/平",568
255,2室2厅 ,126.6,南北, 精装 , 中楼层(共13层) , 2005年建 ,"43,424元/平",550
256,3室1厅 ,67.6,东南, 简装 , 高楼层(共6层) , 1994年建 ,"55,162元/平",373
257,2室1厅 ,89.0,南北, 简装 , 高楼层(共18层) , 2009年建 ,"51,680元/平",460
258,2室1厅 ,65.8,东南, 简装 , 中楼层(共22层) , 1998年建 ,"58,440元/平",385
259,3室1厅 ,86.7,南北, 其他 , 中楼层(共6层) , 1994年建 ,"102,423元/平",888
260,2室1厅 ,56.6,东西北, 简装 , 低楼层(共3层) , 1958年建 ,"105,134元/平",596
261,2室1厅 ,69.7,南, 精装 , 高楼层(共15层) , 2012年建 ,"35,858元/平",250
262,2室1厅 ,71.4,南, 精装 , 中楼层(共28层) , 2014年建 ,"53,177元/平",380
263,3室2厅 ,137.6,南北, 精装 , 高楼层(共18层) , 2006年建 ,"72,524元/平",998
264,3室2厅 ,165.8,南北, 精装 , 高楼层(共11层) , 2008年建 ,"46,543元/平",772
265,2室2厅 ,88.3,南北, 精装 , 底层(共21层) , 2012年建 ,"36,099元/平",319
266,2室1厅 ,70.9,东, 简装 , 高楼层(共18层) , 1996年建 ,"51,987元/平",369
267,3室1厅 ,186.0,南北, 精装 , 高楼层(共6层) , 2006年建 ,"85,931元/平",1599
268,3室2厅 ,137.5,南北, 精装 , 中楼层(共14层) , 2016年建 ,"61,424元/平",845
269,2室1厅 ,81.8,西南, 简装 , 中楼层(共18层) , 2000年建 ,"52,555元/平",430
270,2室1厅 ,56.6,东西北, 简装 , 低楼层(共3层) , 1958年建 ,"105,134元/平",596
271,2室1厅 ,69.7,南, 精装 , 高楼层(共15层) , 2012年建 ,"35,858元/平",250
272,3室2厅 ,137.6,南北, 精装 , 高楼层(共18层) , 2006年建 ,"72,524元/平",998
273,2室1厅 ,50.4,东南西南, 精装 , 高楼层(共6层) , 1979年建 ,"112,610元/平",568
274,2室2厅 ,126.6,南北, 精装 , 中楼层(共13层) , 2005年建 ,"43,424元/平",550
275,2室1厅 ,65.8,东南, 简装 , 中楼层(共22层) , 1998年建 ,"58,440元/平",385
276,3室1厅 ,67.6,东南, 简装 , 高楼层(共6层) , 1994年建 ,"55,162元/平",373
